id,name,types,height,weight,abilities,egg_groups,genus,description
252,Treecko,[grass],5.00,50.00,"[unburden, overgrow]","[dragon, monster]",Wood Gecko Pokemon,"Treecko is cool, calm, and collectedâ€it never panics under
any situation. If a bigger foe were to glare at this Pokemon,
it would glare right back without conceding an inch of ground."
253,Grovyle,[grass],9.00,216.00,"[unburden, overgrow]","[dragon, monster]",Wood Gecko Pokemon,"This Pokemon adeptly flies from branch to branch in trees.
In a forest, no Pokemon can ever hope to catch a fleeing
Grovyle however fast they may be."
254,Sceptile,[grass],17.00,522.00,"[unburden, overgrow]","[dragon, monster]",Forest Pokemon,"Sceptile has seeds growing on its back. They are said to be
bursting with nutrients that revitalize trees. This Pokemon
raises the trees in a forest with loving care."
255,Torchic,[fire],4.00,25.00,"[speed-boost, blaze]",[ground],Chick Pokemon,"Torchic has a place inside its body where it keeps its flame.
Give it a hugâ€it will be glowing with warmth. This Pokemon is
covered all over by a fluffy coat of down."
256,Combusken,"[fighting, fire]",9.00,195.00,"[speed-boost, blaze]",[ground],Young Fowl Pokemon,"Combusken battles with the intensely hot flames it spews from
its beak and with outstandingly destructive kicks. This
Pokemon's cry is very loud and distracting."
257,Blaziken,"[fighting, fire]",19.00,520.00,"[speed-boost, blaze]",[ground],Blaze Pokemon,"Blaziken has incredibly strong legsâ€it can easily clear a
30-story building in one leap. This Pokemon's blazing punches
leave its foes scorched and blackened."
258,Mudkip,[water],4.00,76.00,"[damp, torrent]","[water1, monster]",Mud Fish Pokemon,"In water, Mudkip breathes using the gills on its cheeks. If it is
faced with a tight situation in battle, this Pokemon will unleash
its amazing powerâ€it can crush rocks bigger than itself."
259,Marshtomp,"[ground, water]",7.00,280.00,"[damp, torrent]","[water1, monster]",Mud Fish Pokemon,"Marshtomp is much faster at traveling through mud than it is at
swimming. This Pokemon's hindquarters exhibit obvious
development, giving it the ability to walk on just its hind legs."
260,Swampert,"[ground, water]",15.00,819.00,"[damp, torrent]","[water1, monster]",Mud Fish Pokemon,"Swampert predicts storms by sensing subtle differences in the
sounds of waves and tidal winds with its fins. If a storm is
approaching, it piles up boulders to protect itself."
261,Poochyena,[dark],5.00,136.00,"[rattled, quick-feet, run-away]",[ground],Bite Pokemon,"Poochyena is an omnivoreâ€it will eat anything. A distinguishing
feature is how large its fangs are compared to its body. This
Pokemon tries to intimidate its foes by making the hair on its
tail bristle out."
262,Mightyena,[dark],10.00,370.00,"[moxie, quick-feet, intimidate]",[ground],Bite Pokemon,"Mightyena travel and act as a pack in the wild. The memory
of its life in the wild compels the Pokemon to obey only
those Trainers that it recognizes to possess superior skill."
263,Zigzagoon,[normal],4.00,175.00,"[quick-feet, gluttony, pickup]",[ground],Tiny Raccoon Pokemon,"The hair on Zigzagoon's back is bristly. It rubs the hard back
hair against trees to leave its territorial markings. This Pokemon
may play dead to fool foes in battle."
264,Linoone,[normal],5.00,325.00,"[quick-feet, gluttony, pickup]",[ground],Rushing Pokemon,"When hunting, Linoone will make a beeline straight for the
prey at a full run. While this Pokemon is capable of topping
60 mph, it has to come to a screeching halt before it can turn."
265,Wurmple,[bug],3.00,36.00,"[run-away, shield-dust]",[bug],Worm Pokemon,"Wurmple is targeted by Swellow as prey. This Pokemon
will try to resist by pointing the spikes on its rear at the
attacking predator. It will weaken the foe by leaking poison
from the spikes."
266,Silcoon,[bug],6.00,100.00,[shed-skin],[bug],Cocoon Pokemon,"Silcoon was thought to endure hunger and not consume
anything before its evolution. However, it is now thought
that this Pokemon slakes its thirst by drinking rainwater
that collects on its silk."
267,Beautifly,"[flying, bug]",10.00,284.00,"[rivalry, swarm]",[bug],Butterfly Pokemon,"Beautifly has a long mouth like a coiled needle, which is very
convenient for collecting pollen from flowers. This Pokemon
rides the spring winds as it flits around gathering pollen."
268,Cascoon,[bug],7.00,115.00,[shed-skin],[bug],Cocoon Pokemon,"If it is attacked, Cascoon remains motionless however badly it
may be hurt. It does so because if it were to move, its body
would be weak upon evolution. This Pokemon will also not
forget the pain it endured."
269,Dustox,"[poison, bug]",12.00,316.00,"[compound-eyes, shield-dust]",[bug],Poison Moth Pokemon,"When Dustox flaps its wings, a fine dust is scattered all over.
This dust is actually a powerful poison that will even make a
pro wrestler sick. This Pokemon searches for food using its
antennae like radar."
270,Lotad,"[grass, water]",5.00,26.00,"[own-tempo, rain-dish, swift-swim]","[plant, water1]",Water Weed Pokemon,"Lotad is said to have dwelled on land before. However, this
Pokemon is thought to have returned to water because the
leaf on its head grew large and heavy. It now lives by floating
atop the water."
271,Lombre,"[grass, water]",12.00,325.00,"[own-tempo, rain-dish, swift-swim]","[plant, water1]",Jolly Pokemon,"Lombre's entire body is covered by a slippery, slimy film.
It feels horribly unpleasant to be touched by this Pokemon's
hands. Lombre is often mistaken for a human child."
272,Ludicolo,"[grass, water]",15.00,550.00,"[own-tempo, rain-dish, swift-swim]","[plant, water1]",Carefree Pokemon,"Upon hearing an upbeat and cheerful rhythm, the cells in
Ludicolo's body become very energetic and active. Even
in battle, this Pokemon will exhibit an amazing amount
of power."
273,Seedot,[grass],5.00,40.00,"[pickpocket, early-bird, chlorophyll]","[plant, ground]",Acorn Pokemon,"Seedot looks exactly like an acorn when it is dangling from a
tree branch. It startles other Pokemon by suddenly moving.
This Pokemon polishes its body once a day using leaves."
274,Nuzleaf,"[dark, grass]",10.00,280.00,"[pickpocket, early-bird, chlorophyll]","[plant, ground]",Wily Pokemon,"This Pokemon pulls out the leaf on its head and makes a flute
with it. The sound of Nuzleaf's flute strikes fear and uncertainty
in the hearts of people lost in a forest."
275,Shiftry,"[dark, grass]",13.00,596.00,"[pickpocket, early-bird, chlorophyll]","[plant, ground]",Wicked Pokemon,"Shiftry's large fans generate awesome gusts of wind at a
speed close to 100 feet per second. The whipped-up wind
blows anything away. This Pokemon chooses to live quietly
deep in forests."
276,Taillow,"[flying, normal]",3.00,23.00,"[scrappy, guts]",[flying],Tiny Swallow Pokemon,"Taillow is youngâ€it has only just left its nest. As a result,
it sometimes becomes lonesome and cries at night.
This Pokemon feeds on Wurmple that live in forests."
277,Swellow,"[flying, normal]",7.00,198.00,"[scrappy, guts]",[flying],Swallow Pokemon,"Swellow is very conscientious about the upkeep of its glossy
wings. Once two Swellow are gathered, they diligently take
care of cleaning each other's wings."
278,Wingull,"[flying, water]",6.00,95.00,"[rain-dish, hydration, keen-eye]","[flying, water1]",Seagull Pokemon,"Fishermen keep an eye out for Wingull in the
sky, because wherever they're circling, the
ocean is sure to be teeming with fish Pokemon."
279,Pelipper,"[flying, water]",12.00,280.00,"[rain-dish, drizzle, keen-eye]","[flying, water1]",Water Bird Pokemon,"Gathering food is the work of young males.
They store food in their capacious beaks and
carry it back to others waiting in the nest."
280,Ralts,"[fairy, psychic]",4.00,66.00,"[telepathy, trace, synchronize]",[indeterminate],Feeling Pokemon,"Ralts has the ability to sense the emotions of people. If its
Trainer is in a cheerful mood, this Pokemon grows cheerful
and joyous in the same way."
281,Kirlia,"[fairy, psychic]",8.00,202.00,"[telepathy, trace, synchronize]",[indeterminate],Emotion Pokemon,"Kirlia uses the horns on its head to amplify its psychokinetic
power. When the Pokemon uses its power, the air around it
becomes distorted, creating mirages of nonexistent scenery."
282,Gardevoir,"[fairy, psychic]",16.00,484.00,"[telepathy, trace, synchronize]",[indeterminate],Embrace Pokemon,"Gardevoir has the psychokinetic power to distort the
dimensions and create a small black hole. This Pokemon
will try to protect its Trainer even at the risk of its own life."
283,Surskit,"[water, bug]",5.00,17.00,"[rain-dish, swift-swim]","[bug, water1]",Pond Skater Pokemon,"When this Pokemon senses danger, a sweet
fluid oozes from the tip of its head. The taste
of it disgusts bird Pokemon."
284,Masquerain,"[flying, bug]",8.00,36.00,"[unnerve, intimidate]","[bug, water1]",Eyeball Pokemon,"Its wings and antennae don't cope well with
moisture. After a rain, it faces sunward to
dry off."
285,Shroomish,[grass],4.00,45.00,"[quick-feet, poison-heal, effect-spore]","[plant, fairy]",Mushroom Pokemon,"If Shroomish senses danger, it shakes its body and scatters
spores from the top of its head. This Pokemon's spores are
so toxic, they make trees and weeds wilt."
286,Breloom,"[fighting, grass]",12.00,392.00,"[technician, poison-heal, effect-spore]","[plant, fairy]",Mushroom Pokemon,"The seeds ringing Breloom's tail are made of hardened toxic
spores. It is horrible to eat the seeds. Just taking a bite of this
Pokemon's seed will cause your stomach to rumble."
287,Slakoth,[normal],8.00,240.00,[truant],[ground],Slacker Pokemon,"Slakoth's heart beats just once a minute. Whatever happens,
it is content to loaf around motionless. It is rare to see this
Pokemon in motion."
288,Vigoroth,[normal],14.00,465.00,[vital-spirit],[ground],Wild Monkey Pokemon,"Vigoroth is simply incapable of remaining still. Even when it
tries to sleep, the blood in its veins grows agitated, compelling
this Pokemon to run wild throughout the jungle before it can
settle down."
289,Slaking,[normal],20.00,1305.00,[truant],[ground],Lazy Pokemon,"Wherever Slaking live, rings of over a yard in diameter appear
in grassy fields. They are made by the Pokemon as it eats all
the grass within reach while lying prone on the ground."
290,Nincada,"[ground, bug]",5.00,55.00,"[run-away, compound-eyes]",[bug],Trainee Pokemon,"Nincada lives underground. It uses its sharp claws to carve the
roots of trees and absorb moisture and nutrients.
This Pokemon can't withstand bright sunlight so avoids it."
291,Ninjask,"[flying, bug]",8.00,120.00,"[infiltrator, speed-boost]",[bug],Ninja Pokemon,"If Ninjask is not trained properly, it will refuse to obey
the Trainer and cry loudly continuously. Because of this
quality, this Pokemon is said to be one that puts the
Trainer's abilities to the test."
292,Shedinja,"[ghost, bug]",8.00,12.00,[wonder-guard],[mineral],Shed Pokemon,"Shedinja is a peculiar Pokemon. It seems to appear unsought
in a PokÃ© Ball after a Nincada evolves. This bizarre Pokemon
is entirely immobileâ€it doesn't even breathe."
293,Whismur,[normal],6.00,163.00,"[rattled, soundproof]","[ground, monster]",Whisper Pokemon,"Whismur is very timid. If it starts to cry loudly, it becomes
startled by its own crying and cries even harder. When it finally
stops crying, the Pokemon goes to sleep, all tired out."
294,Loudred,[normal],10.00,405.00,"[scrappy, soundproof]","[ground, monster]",Big Voice Pokemon,"Loudred shouts while stamping its feet. After it finishes
shouting, this Pokemon becomes incapable of hearing
anything for a while. This is considered to be a weak point."
295,Exploud,[normal],15.00,840.00,"[scrappy, soundproof]","[ground, monster]",Loud Noise Pokemon,"Exploud communicates its feelings to the others by emitting
whistle-like sounds from the tubes on its body. This Pokemon
only raises its voice when it is in battle."
296,Makuhita,[fighting],10.00,864.00,"[sheer-force, guts, thick-fat]",[humanshape],Guts Pokemon,"Their daily routine consists of training together
first thing in the morning, eating and napping in
the afternoon, and then more training afterward."
297,Hariyama,[fighting],23.00,2538.00,"[sheer-force, guts, thick-fat]",[humanshape],Arm Thrust Pokemon,"They love to compare their freakish strengthâ€
strength enough to send a truck flying with a
single slap."
298,Azurill,"[fairy, normal]",2.00,20.00,"[sap-sipper, huge-power, thick-fat]",[no-eggs],Polka Dot Pokemon,"Azurill's tail is large and bouncy. It is packed full of the
nutrients this Pokemon needs to grow. Azurill can be seen
bouncing and playing on its big, rubbery tail."
299,Nosepass,[rock],10.00,970.00,"[sand-force, magnet-pull, sturdy]",[mineral],Compass Pokemon,"It uses powerful magnetism to drag its prey
toward it. It's also been known to pull in metal,
which it collects and uses to protect itself."
300,Skitty,[normal],6.00,110.00,"[wonder-skin, normalize, cute-charm]","[fairy, ground]",Kitten Pokemon,"Skitty is known to chase around playfully after its own tail.
In the wild, this Pokemon lives in holes in the trees of forests.
It is very popular as a pet because of its adorable looks."
301,Delcatty,[normal],11.00,326.00,"[wonder-skin, normalize, cute-charm]","[fairy, ground]",Prim Pokemon,"Delcatty sleeps anywhere it wants without keeping a permanent
nest. If other Pokemon approach it as it sleeps, this Pokemon
will never fightâ€it will just move away somewhere else."
302,Sableye,"[ghost, dark]",5.00,110.00,"[prankster, stall, keen-eye]",[humanshape],Darkness Pokemon,"This Pokemon is feared. When its gemstone eyes
begin to glow with a sinister shine, it's believed
that Sableye will steal people's spirits away."
303,Mawile,"[fairy, steel]",6.00,115.00,"[sheer-force, intimidate, hyper-cutter]","[fairy, ground]",Deceiver Pokemon,"Don't be taken in by this Pokemon's cute faceâ€it's very
dangerous. Mawile fools the foe into letting down its guard,
then chomps down with its massive jaws. The steel jaws are
really horns that have been transformed."
304,Aron,"[rock, steel]",4.00,600.00,"[heavy-metal, rock-head, sturdy]",[monster],Iron Armor Pokemon,"Aron has a body of steel. With one all-out charge, this
Pokemon can demolish even a heavy dump truck.
The destroyed dump truck then becomes a handy meal
for the Pokemon."
305,Lairon,"[rock, steel]",9.00,1200.00,"[heavy-metal, rock-head, sturdy]",[monster],Iron Armor Pokemon,"Lairon feeds on iron contained in rocks and water. It makes
its nest on mountains where iron ore is buried. As a result,
the Pokemon often clashes with humans mining the iron ore."
306,Aggron,"[rock, steel]",21.00,3600.00,"[heavy-metal, rock-head, sturdy]",[monster],Iron Armor Pokemon,"Aggron is protective of its environment. If its mountain is
ravaged by a landslide or a fire, this Pokemon will haul
topsoil to the area, plant trees, and beautifully restore its
own territory."
307,Meditite,"[psychic, fighting]",6.00,112.00,"[telepathy, pure-power]",[humanshape],Meditate Pokemon,"Meditite heightens its inner energy through meditation.
It survives on just one berry a day. Minimal eating is another
aspect of this Pokemon's training."
308,Medicham,"[psychic, fighting]",13.00,315.00,"[telepathy, pure-power]",[humanshape],Meditate Pokemon,"Through the power of meditation, Medicham developed its
sixth sense. It gained the ability to use psychokinetic powers.
This Pokemon is known to meditate for a whole month
without eating."
309,Electrike,[electric],6.00,152.00,"[minus, lightning-rod, static]",[ground],Lightning Pokemon,"Electrike runs faster than the human eye can follow.
The friction from running is converted into electricity,
which is then stored in this Pokemon's fur."
310,Manectric,[electric],15.00,402.00,"[minus, lightning-rod, static]",[ground],Discharge Pokemon,"Manectric discharges strong electricity from its mane.
The mane is used for collecting electricity in the atmosphere.
This Pokemon creates thunderclouds above its head."
311,Plusle,[electric],4.00,42.00,"[lightning-rod, plus]",[fairy],Cheering Pokemon,"When Plusle is cheering on its partner, it flashes with electric
sparks from all over its body. If its partner loses, this Pokemon
cries loudly."
312,Minun,[electric],4.00,42.00,"[volt-absorb, minus]",[fairy],Cheering Pokemon,"Minun loves to cheer on its partner in battle. It gives off sparks
from its body while it is doing so. If its partner is in trouble,
this Pokemon gives off increasing amounts of sparks."
313,Volbeat,[bug],7.00,177.00,"[prankster, swarm, illuminate]","[humanshape, bug]",Firefly Pokemon,"Volbeat's tail glows like a lightbulb. With other Volbeat,
it uses its tail to draw geometric shapes in the night sky.
This Pokemon loves the sweet aroma given off by Illumise."
314,Illumise,[bug],6.00,177.00,"[prankster, tinted-lens, oblivious]","[humanshape, bug]",Firefly Pokemon,"Illumise leads a flight of illuminated Volbeat to draw signs in
the night sky. This Pokemon is said to earn greater respect
from its peers by composing more complex designs in the sky."
315,Roselia,"[poison, grass]",3.00,20.00,"[leaf-guard, poison-point, natural-cure]","[plant, fairy]",Thorn Pokemon,"On extremely rare occasions, a Roselia is said to appear with
its flowers in unusual colors. The thorns on this Pokemon's
head contain a vicious poison."
316,Gulpin,[poison],4.00,103.00,"[gluttony, sticky-hold, liquid-ooze]",[indeterminate],Stomach Pokemon,"Most of Gulpin's body is made up of its stomachâ€its heart and
brain are very small in comparison. This Pokemon's stomach
contains special enzymes that dissolve anything."
317,Swalot,[poison],17.00,800.00,"[gluttony, sticky-hold, liquid-ooze]",[indeterminate],Poison Bag Pokemon,"Swalot has no teeth, so what it eats, it swallows whole, no
matter what. Its cavernous mouth yawns widely. An automobile
tire could easily fit inside this Pokemon's mouth."
318,Carvanha,"[dark, water]",8.00,208.00,"[speed-boost, rough-skin]",[water2],Savage Pokemon,"If they scent the faintest trace of blood, they
rush to attack en masse. When alone, they're
rather cowardly."
319,Sharpedo,"[dark, water]",18.00,888.00,"[speed-boost, rough-skin]",[water2],Brutal Pokemon,"It has a sad history. In the past, its dorsal fin
was a treasured foodstuff, so this Pokemon
became a victim of overfishing."
320,Wailmer,[water],20.00,1300.00,"[pressure, oblivious, water-veil]","[water2, ground]",Ball Whale Pokemon,"It shows off by spraying jets of seawater from
the nostrils above its eyes. It eats a solid ton of
Wishiwashi every day."
321,Wailord,[water],145.00,3980.00,"[pressure, oblivious, water-veil]","[water2, ground]",Float Whale Pokemon,"Its immense size is the reason for its popularity.
Wailord watching is a favorite sightseeing
activity in various parts of the world."
322,Numel,"[ground, fire]",7.00,240.00,"[own-tempo, simple, oblivious]",[ground],Numb Pokemon,"Numel stores magma of almost 2,200 degrees Fahrenheit
within its body. If it gets wet, the magma cools and hardens.
In that event, the Pokemon's body grows heavy and its
movements become sluggish."
323,Camerupt,"[ground, fire]",19.00,2200.00,"[anger-point, solid-rock, magma-armor]",[ground],Eruption Pokemon,"The humps on Camerupt's back are formed by a transformation
of its bones. They sometimes blast out molten magma.
This Pokemon apparently erupts often when it is enraged."
324,Torkoal,[fire],5.00,804.00,"[shell-armor, drought, white-smoke]",[ground],Coal Pokemon,"If the fire burning within its shell goes out, it will
die. Those who wish to raise one in their home
must always keep something flammable at hand."
325,Spoink,[psychic],7.00,306.00,"[gluttony, own-tempo, thick-fat]",[ground],Bounce Pokemon,"Spoink keeps a pearl on top of its head. The pearl functions to
amplify this Pokemon's psychokinetic powers. It is therefore on
a constant search for a bigger pearl."
326,Grumpig,[psychic],9.00,715.00,"[gluttony, own-tempo, thick-fat]",[ground],Manipulate Pokemon,"Grumpig uses the black pearls on its body to wield
its fantastic powers. When it is doing so, it dances bizarrely.
This Pokemon's black pearls are valuable as works of art."
327,Spinda,[normal],11.00,50.00,"[contrary, tangled-feet, own-tempo]","[humanshape, ground]",Spot Panda Pokemon,"Each and every Spinda has a slightly different
configuration of spots. There are collectors who
enjoy the tiny differences in their spot patterns."
328,Trapinch,[ground],7.00,150.00,"[sheer-force, arena-trap, hyper-cutter]",[bug],Ant Pit Pokemon,"As it digs through the sand, its giant jaws
crush any rocks that obstruct its path. It builds
a funnel-shaped nest."
329,Vibrava,"[dragon, ground]",11.00,153.00,[levitate],[bug],Vibration Pokemon,"To help make its wings grow, it dissolves
quantities of prey in its digestive juices and
guzzles them down every day."
330,Flygon,"[dragon, ground]",20.00,820.00,[levitate],[bug],Mystic Pokemon,"This Pokemon hides in the heart of sandstorms
it creates and seldom appears where people
can see it."
331,Cacnea,[grass],4.00,513.00,"[water-absorb, sand-veil]","[humanshape, plant]",Cactus Pokemon,"The more arid and harsh the environment, the more pretty and
fragrant a flower Cacnea grows. This Pokemon battles by
wildly swinging its thorny arms."
332,Cacturne,"[dark, grass]",13.00,774.00,"[water-absorb, sand-veil]","[humanshape, plant]",Scarecrow Pokemon,"If a traveler is going through a desert in the thick of night,
Cacturne will follow in a ragtag group. The Pokemon are
biding their time, waiting for the traveler to tire and become
incapable of moving."
333,Swablu,"[flying, normal]",4.00,12.00,"[cloud-nine, natural-cure]","[dragon, flying]",Cotton Bird Pokemon,"Swablu loves to make things clean. If it spots something dirty,
it will wipe and polish it with its cottony wings. If its wings
become dirty, this Pokemon finds a stream and showers itself."
334,Altaria,"[flying, dragon]",11.00,206.00,"[cloud-nine, natural-cure]","[dragon, flying]",Humming Pokemon,"Altaria sings in a gorgeous soprano. Its wings are like cotton
clouds. This Pokemon catches updrafts with its buoyant wings
and soars way up into the wild blue yonder."
335,Zangoose,[normal],13.00,403.00,"[toxic-boost, immunity]",[ground],Cat Ferret Pokemon,"Zangoose usually stays on all fours, but when angered, it gets
up on its hind legs and extends its claws. This Pokemon shares
a bitter rivalry with Seviper that dates back over generations."
336,Seviper,[poison],27.00,525.00,"[infiltrator, shed-skin]","[dragon, ground]",Fang Snake Pokemon,"Seviper's swordlike tail serves two purposesâ€it slashes foes
and douses them with secreted poison. This Pokemon will not
give up its long-running blood feud with Zangoose."
337,Lunatone,"[psychic, rock]",10.00,1680.00,[levitate],[mineral],Meteorite Pokemon,"Lunatone becomes active around the time of the full moon.
Instead of walking, it moves by floating in midair.
The Pokemon's intimidating red eyes cause all those who
see it to become transfixed with fear."
338,Solrock,"[psychic, rock]",12.00,1540.00,[levitate],[mineral],Meteorite Pokemon,"Sunlight is the source of Solrock's power. It is said to possess
the ability to read the emotions of others. This Pokemon gives
off intense heat while rotating its body."
339,Barboach,"[ground, water]",4.00,19.00,"[hydration, anticipation, oblivious]",[water2],Whiskers Pokemon,"Its slippery body is hard to grasp, so much so
that there are festivals where people compete
to see how many they can catch barehanded."
340,Whiscash,"[ground, water]",9.00,236.00,"[hydration, anticipation, oblivious]",[water2],Whiskers Pokemon,"Sighting Whiscash leaping from the water
is believed to herald an earthquake."
341,Corphish,[water],6.00,115.00,"[adaptability, shell-armor, hyper-cutter]","[water3, water1]",Ruffian Pokemon,"Corphish catches prey with its sharp claws. It has no
likes or dislikes when it comes to foodâ€it will eat anything.
This Pokemon has no trouble living in filthy water."
342,Crawdaunt,"[dark, water]",11.00,328.00,"[adaptability, shell-armor, hyper-cutter]","[water3, water1]",Rogue Pokemon,"Crawdaunt molts (sheds) its shell regularly. Immediately after
molting, its shell is soft and tender. Until the shell hardens,
this Pokemon hides in its streambed burrow to avoid attack
from its foes."
343,Baltoy,"[psychic, ground]",5.00,215.00,[levitate],[mineral],Clay Doll Pokemon,"As soon as it spots others of its kind, Baltoy congregates with
them and then begins crying noisily in unison. This Pokemon
sleeps while cleverly balancing itself on its one foot."
344,Claydol,"[psychic, ground]",15.00,1080.00,[levitate],[mineral],Clay Doll Pokemon,"Claydol is an enigma that appeared from a clay statue made by
an ancient civilization dating back 20,000 years. This Pokemon
shoots beams from both its hands."
345,Lileep,"[grass, rock]",10.00,238.00,"[storm-drain, suction-cups]",[water3],Sea Lily Pokemon,"Lileep is an ancient Pokemon that was regenerated from a
fossil. It remains permanently anchored to a rock. From its
immobile perch, this Pokemon intently scans for prey with its
two eyes."
346,Cradily,"[grass, rock]",15.00,604.00,"[storm-drain, suction-cups]",[water3],Barnacle Pokemon,"Cradily's body serves as an anchor, preventing it from being
washed away in rough seas. This Pokemon secretes a strong
digestive fluid from its tentacles."
347,Anorith,"[bug, rock]",7.00,125.00,"[swift-swim, battle-armor]",[water3],Old Shrimp Pokemon,"Anorith is said to be a type of Pokemon predecessor, with
eight wings at the sides of its body. This Pokemon swam in the
primordial sea by undulating these eight wings."
348,Armaldo,"[bug, rock]",15.00,682.00,"[swift-swim, battle-armor]",[water3],Plate Pokemon,"Armaldo is a Pokemon species that became extinct in
prehistoric times. This Pokemon is said to have walked
on its hind legs, which would have been more convenient
for life on land."
349,Feebas,[water],6.00,74.00,"[adaptability, oblivious, swift-swim]","[dragon, water1]",Fish Pokemon,"Although unattractive and unpopular, this
Pokemon's marvelous vitality has made it a
subject of research."
350,Milotic,[water],62.00,1620.00,"[cute-charm, competitive, marvel-scale]","[dragon, water1]",Tender Pokemon,"It lives at the bottom of clear lakes. In times of
war, it shows itself, which soothes people's
minds and hearts."
351,Castform,[normal],3.00,8.00,[forecast],"[indeterminate, fairy]",Weather Pokemon,"Its form changes on its own, due to its cells'
sensitive reactions to temperature and humidity."
352,Kecleon,[normal],10.00,220.00,"[protean, color-change]",[ground],Color Swap Pokemon,"Kecleon alters its body coloration to blend in with its
surroundings, allowing it to sneak up on its prey unnoticed.
Then it lashes out with its long, stretchy tongue to instantly
ensnare the unsuspecting target."
353,Shuppet,[ghost],6.00,23.00,"[cursed-body, frisk, insomnia]",[indeterminate],Puppet Pokemon,"Shuppet grows by feeding on dark emotions, such as
vengefulness and envy, in the hearts of people. It roams
through cities in search of grudges that taint people."
354,Banette,[ghost],11.00,125.00,"[cursed-body, frisk, insomnia]",[indeterminate],Marionette Pokemon,"A cursed energy permeated the stuffing of a discarded and
forgotten plush doll, giving it new life as Banette.
The Pokemon's energy would escape if it were to ever open
its mouth."
355,Duskull,[ghost],8.00,150.00,"[frisk, levitate]",[indeterminate],Requiem Pokemon,"Duskull wanders lost among the deep darkness of midnight.
There is an oft-told admonishment given to misbehaving
children that this Pokemon will spirit away bad children who
earn scoldings from their mothers."
356,Dusclops,[ghost],16.00,306.00,"[frisk, pressure]",[indeterminate],Beckon Pokemon,"Dusclops absorbs anything, however large the object may be.
This Pokemon hypnotizes its foe by waving its hands in a
macabre manner and by bringing its single eye to bear.
The hypnotized foe is made to do Dusclops's bidding."
357,Tropius,"[flying, grass]",20.00,1000.00,"[harvest, solar-power, chlorophyll]","[plant, monster]",Fruit Pokemon,"Children of the southern tropics eat as snacks the fruit that
grows in bunches around the neck of Tropius. This Pokemon
flies by flapping the leaves on its back as if they were wings."
358,Chimecho,[psychic],6.00,10.00,[levitate],[indeterminate],Wind Chime Pokemon,"In high winds, Chimecho cries as it hangs from a tree branch or
the eaves of a building using a suction cup on its head. This
Pokemon plucks berries with its long tail and eats them."
359,Absol,[dark],12.00,470.00,"[justified, super-luck, pressure]",[ground],Disaster Pokemon,"Although it's said to bring disaster, in actuality,
this Pokemon possesses a calm disposition and
warns people of any crises that loom."
360,Wynaut,[psychic],6.00,140.00,"[telepathy, shadow-tag]",[no-eggs],Bright Pokemon,"Wynaut gather on moonlit nights to play by squeezing up
against each other. By being squeezed, this Pokemon gains
endurance and is trained to dole out powerful counterattacks."
361,Snorunt,[ice],7.00,168.00,"[moody, ice-body, inner-focus]","[mineral, fairy]",Snow Hat Pokemon,"It can only survive in cold areas. It bounces
happily around, even in environments as cold as
-150 degrees Fahrenheit."
362,Glalie,[ice],15.00,2565.00,"[moody, ice-body, inner-focus]","[mineral, fairy]",Face Pokemon,"Its prey is instantaneously frozen stiff by the
cold air it exhales from its huge mouth. While
they're in that frozen state, it gobbles them up."
363,Spheal,"[water, ice]",8.00,395.00,"[oblivious, ice-body, thick-fat]","[ground, water1]",Clap Pokemon,"Spheal always travels by rolling around on its ball-like body.
When the season for ice floes arrives, this Pokemon can be
seen rolling about on ice and crossing the sea."
364,Sealeo,"[water, ice]",11.00,876.00,"[oblivious, ice-body, thick-fat]","[ground, water1]",Ball Roll Pokemon,"Sealeo often balances and rolls things on the tip of its
nose. While the Pokemon is rolling something, it checks
the object's aroma and texture to determine whether it likes
the object or not."
365,Walrein,"[water, ice]",14.00,1506.00,"[oblivious, ice-body, thick-fat]","[ground, water1]",Ice Break Pokemon,"Walrein swims all over in frigid seawater while crushing
icebergs with its grand, imposing tusks. Its thick layer of
blubber makes enemy attacks bounce off harmlessly."
366,Clamperl,[water],4.00,525.00,"[rattled, shell-armor]",[water1],Bivalve Pokemon,"Clamperl grows while being protected by its rock-hard shell.
When its body becomes too large to fit inside the shell, it is
sure evidence that this Pokemon is getting close to evolution."
367,Huntail,[water],17.00,270.00,"[water-veil, swift-swim]",[water1],Deep Sea Pokemon,"Huntail's tail is shaped like a fish. It uses the tail to attract
prey, then swallows the prey whole with its large, gaping
mouth. This Pokemon swims by wiggling its slender body
like a snake."
368,Gorebyss,[water],18.00,226.00,"[hydration, swift-swim]",[water1],South Sea Pokemon,"Although Gorebyss is the very picture of elegance and beauty
while swimming, it is also cruel. When it spots prey, this
Pokemon inserts its thin mouth into the prey's body and drains
the prey of its body fluids."
369,Relicanth,"[rock, water]",10.00,234.00,"[sturdy, rock-head, swift-swim]","[water2, water1]",Longevity Pokemon,"It was fortuitously discovered during a deep sea
expedition. Its teeth have atrophied, so it now
survives on microscopic organisms it sucks up."
370,Luvdisc,[water],6.00,87.00,"[hydration, swift-swim]",[water2],Rendezvous Pokemon,"Loving couples have a soft spot for this
Pokemon, so honeymoon hotels often release
this Pokemon into their pools."
371,Bagon,[dragon],6.00,421.00,"[sheer-force, rock-head]",[dragon],Rock Head Pokemon,"With its steel-hard stone head, it headbutts
indiscriminately. This is because of the stress
it feels at being unable to fly."
