id,name,height,weight,genus,description
326,Grumpig,9.00,715.00,Manipulate Pokemon,"Grumpig uses the black pearls on its body to wield
its fantastic powers. When it is doing so, it dances bizarrely.
This Pokemonâ€™s black pearls are valuable as works of art."
327,Spinda,11.00,50.00,Spot Panda Pokemon,"Each and every Spinda has a slightly different
configuration of spots. There are collectors who
enjoy the tiny differences in their spot patterns."
328,Trapinch,7.00,150.00,Ant Pit Pokemon,"As it digs through the sand, its giant jaws
crush any rocks that obstruct its path. It builds
a funnel-shaped nest."
329,Vibrava,11.00,153.00,Vibration Pokemon,"To help make its wings grow, it dissolves
quantities of prey in its digestive juices and
guzzles them down every day."
330,Flygon,20.00,820.00,Mystic Pokemon,"This Pokemon hides in the heart of sandstorms
it creates and seldom appears where people
can see it."
331,Cacnea,4.00,513.00,Cactus Pokemon,"The more arid and harsh the environment, the more pretty and
fragrant a flower Cacnea grows. This Pokemon battles by
wildly swinging its thorny arms."
332,Cacturne,13.00,774.00,Scarecrow Pokemon,"If a traveler is going through a desert in the thick of night,
Cacturne will follow in a ragtag group. The Pokemon are
biding their time, waiting for the traveler to tire and become
incapable of moving."
333,Swablu,4.00,12.00,Cotton Bird Pokemon,"Swablu loves to make things clean. If it spots something dirty,
it will wipe and polish it with its cottony wings. If its wings
become dirty, this Pokemon finds a stream and showers itself."
334,Altaria,11.00,206.00,Humming Pokemon,"Altaria sings in a gorgeous soprano. Its wings are like cotton
clouds. This Pokemon catches updrafts with its buoyant wings
and soars way up into the wild blue yonder."
335,Zangoose,13.00,403.00,Cat Ferret Pokemon,"Zangoose usually stays on all fours, but when angered, it gets
up on its hind legs and extends its claws. This Pokemon shares
a bitter rivalry with Seviper that dates back over generations."
336,Seviper,27.00,525.00,Fang Snake Pokemon,"Seviperâ€™s swordlike tail serves two purposesâ€”it slashes foes
and douses them with secreted poison. This Pokemon will not
give up its long-running blood feud with Zangoose."
337,Lunatone,10.00,1680.00,Meteorite Pokemon,"Lunatone becomes active around the time of the full moon.
Instead of walking, it moves by floating in midair.
The Pokemonâ€™s intimidating red eyes cause all those who
see it to become transfixed with fear."
338,Solrock,12.00,1540.00,Meteorite Pokemon,"Sunlight is the source of Solrockâ€™s power. It is said to possess
the ability to read the emotions of others. This Pokemon gives
off intense heat while rotating its body."
339,Barboach,4.00,19.00,Whiskers Pokemon,"Its slippery body is hard to grasp, so much so
that there are festivals where people compete
to see how many they can catch barehanded."
340,Whiscash,9.00,236.00,Whiskers Pokemon,"Sighting Whiscash leaping from the water
is believed to herald an earthquake."
341,Corphish,6.00,115.00,Ruffian Pokemon,"Corphish catches prey with its sharp claws. It has no
likes or dislikes when it comes to foodâ€”it will eat anything.
This Pokemon has no trouble living in filthy water."
342,Crawdaunt,11.00,328.00,Rogue Pokemon,"Crawdaunt molts (sheds) its shell regularly. Immediately after
molting, its shell is soft and tender. Until the shell hardens,
this Pokemon hides in its streambed burrow to avoid attack
from its foes."
343,Baltoy,5.00,215.00,Clay Doll Pokemon,"As soon as it spots others of its kind, Baltoy congregates with
them and then begins crying noisily in unison. This Pokemon
sleeps while cleverly balancing itself on its one foot."
344,Claydol,15.00,1080.00,Clay Doll Pokemon,"Claydol is an enigma that appeared from a clay statue made by
an ancient civilization dating back 20,000 years. This Pokemon
shoots beams from both its hands."
345,Lileep,10.00,238.00,Sea Lily Pokemon,"Lileep is an ancient Pokemon that was regenerated from a
fossil. It remains permanently anchored to a rock. From its
immobile perch, this Pokemon intently scans for prey with its
two eyes."
346,Cradily,15.00,604.00,Barnacle Pokemon,"Cradilyâ€™s body serves as an anchor, preventing it from being
washed away in rough seas. This Pokemon secretes a strong
digestive fluid from its tentacles."
347,Anorith,7.00,125.00,Old Shrimp Pokemon,"Anorith is said to be a type of Pokemon predecessor, with
eight wings at the sides of its body. This Pokemon swam in the
primordial sea by undulating these eight wings."
348,Armaldo,15.00,682.00,Plate Pokemon,"Armaldo is a Pokemon species that became extinct in
prehistoric times. This Pokemon is said to have walked
on its hind legs, which would have been more convenient
for life on land."
349,Feebas,6.00,74.00,Fish Pokemon,"Although unattractive and unpopular, this
Pokemonâ€™s marvelous vitality has made it a
subject of research."
350,Milotic,62.00,1620.00,Tender Pokemon,"It lives at the bottom of clear lakes. In times of
war, it shows itself, which soothes peopleâ€™s
minds and hearts."
351,Castform,3.00,8.00,Weather Pokemon,"Its form changes on its own, due to its cellsâ€™
sensitive reactions to temperature and humidity."
352,Kecleon,10.00,220.00,Color Swap Pokemon,"Kecleon alters its body coloration to blend in with its
surroundings, allowing it to sneak up on its prey unnoticed.
Then it lashes out with its long, stretchy tongue to instantly
ensnare the unsuspecting target."
353,Shuppet,6.00,23.00,Puppet Pokemon,"Shuppet grows by feeding on dark emotions, such as
vengefulness and envy, in the hearts of people. It roams
through cities in search of grudges that taint people."
354,Banette,11.00,125.00,Marionette Pokemon,"A cursed energy permeated the stuffing of a discarded and
forgotten plush doll, giving it new life as Banette.
The Pokemonâ€™s energy would escape if it were to ever open
its mouth."
355,Duskull,8.00,150.00,Requiem Pokemon,"Duskull wanders lost among the deep darkness of midnight.
There is an oft-told admonishment given to misbehaving
children that this Pokemon will spirit away bad children who
earn scoldings from their mothers."
356,Dusclops,16.00,306.00,Beckon Pokemon,"Dusclops absorbs anything, however large the object may be.
This Pokemon hypnotizes its foe by waving its hands in a
macabre manner and by bringing its single eye to bear.
The hypnotized foe is made to do Dusclopsâ€™s bidding."
357,Tropius,20.00,1000.00,Fruit Pokemon,"Children of the southern tropics eat as snacks the fruit that
grows in bunches around the neck of Tropius. This Pokemon
flies by flapping the leaves on its back as if they were wings."
358,Chimecho,6.00,10.00,Wind Chime Pokemon,"In high winds, Chimecho cries as it hangs from a tree branch or
the eaves of a building using a suction cup on its head. This
Pokemon plucks berries with its long tail and eats them."
359,Absol,12.00,470.00,Disaster Pokemon,"Although itâ€™s said to bring disaster, in actuality,
this Pokemon possesses a calm disposition and
warns people of any crises that loom."
360,Wynaut,6.00,140.00,Bright Pokemon,"Wynaut gather on moonlit nights to play by squeezing up
against each other. By being squeezed, this Pokemon gains
endurance and is trained to dole out powerful counterattacks."
361,Snorunt,7.00,168.00,Snow Hat Pokemon,"It can only survive in cold areas. It bounces
happily around, even in environments as cold as
-150 degrees Fahrenheit."
362,Glalie,15.00,2565.00,Face Pokemon,"Its prey is instantaneously frozen stiff by the
cold air it exhales from its huge mouth. While
theyâ€™re in that frozen state, it gobbles them up."
363,Spheal,8.00,395.00,Clap Pokemon,"Spheal always travels by rolling around on its ball-like body.
When the season for ice floes arrives, this Pokemon can be
seen rolling about on ice and crossing the sea."
364,Sealeo,11.00,876.00,Ball Roll Pokemon,"Sealeo often balances and rolls things on the tip of its
nose. While the Pokemon is rolling something, it checks
the objectâ€™s aroma and texture to determine whether it likes
the object or not."
365,Walrein,14.00,1506.00,Ice Break Pokemon,"Walrein swims all over in frigid seawater while crushing
icebergs with its grand, imposing tusks. Its thick layer of
blubber makes enemy attacks bounce off harmlessly."
366,Clamperl,4.00,525.00,Bivalve Pokemon,"Clamperl grows while being protected by its rock-hard shell.
When its body becomes too large to fit inside the shell, it is
sure evidence that this Pokemon is getting close to evolution."
367,Huntail,17.00,270.00,Deep Sea Pokemon,"Huntailâ€™s tail is shaped like a fish. It uses the tail to attract
prey, then swallows the prey whole with its large, gaping
mouth. This Pokemon swims by wiggling its slender body
like a snake."
368,Gorebyss,18.00,226.00,South Sea Pokemon,"Although Gorebyss is the very picture of elegance and beauty
while swimming, it is also cruel. When it spots prey, this
Pokemon inserts its thin mouth into the preyâ€™s body and drains
the prey of its body fluids."
369,Relicanth,10.00,234.00,Longevity Pokemon,"It was fortuitously discovered during a deep sea
expedition. Its teeth have atrophied, so it now
survives on microscopic organisms it sucks up."
370,Luvdisc,6.00,87.00,Rendezvous Pokemon,"Loving couples have a soft spot for this
Pokemon, so honeymoon hotels often release
this Pokemon into their pools."
371,Bagon,6.00,421.00,Rock Head Pokemon,"With its steel-hard stone head, it headbutts
indiscriminately. This is because of the stress
it feels at being unable to fly."
372,Shelgon,11.00,1105.00,Endurance Pokemon,"They lurk deep within cavesâ€”motionless,
neither eating nor drinking. Why they donâ€™t die is
not known."
373,Salamence,15.00,1026.00,Dragon Pokemon,"It flies around on its wings, which have grown in
at last. In its happiness, it gushes hot flames,
burning up the fields it passes over."
374,Beldum,6.00,952.00,Iron Ball Pokemon,"With magnetic traction, it pulls its opponents in
close. When theyâ€™re in range, it slashes them
with its rear claws."
375,Metang,12.00,2025.00,Iron Claw Pokemon,"It adores magnetic minerals, so it pursues
Nosepass at speeds exceeding 60 mph."
376,Metagross,16.00,5500.00,Iron Leg Pokemon,"A linkage of two Metang, this Pokemon can
perform any calculation in a flash by utilizing
parallel processing in its four brains."
377,Regirock,17.00,2300.00,Rock Peak Pokemon,"Regirockâ€™s body is composed entirely of rocks. Recently,
a study made the startling discovery that the rocks were all
unearthed from different locations."
378,Regice,18.00,1750.00,Iceberg Pokemon,"Regice cloaks itself with frigid air of -328 degrees Fahrenheit.
Things will freeze solid just by going near this Pokemon.
Its icy body is so cold, it will not melt even if it is immersed
in magma."
379,Registeel,19.00,2050.00,Iron Pokemon,"Registeel was imprisoned by people in ancient times.
The metal composing its body is thought to be a curious
substance that is not of this earth."
380,Latias,14.00,400.00,Eon Pokemon,"Latias is highly intelligent and capable of understanding
human speech. It is covered with a glass-like down.
The Pokemon enfolds its body with its down and refracts
light to alter its appearance."
381,Latios,20.00,600.00,Eon Pokemon,"Latios will only open its heart to a Trainer with a
compassionate spirit. This Pokemon can fly faster than a
jet plane by folding its forelegs to minimize air resistance."
382,Kyogre,45.00,3520.00,Sea Basin Pokemon,"Kyogre is said to be the personification of the sea itself.
Legends tell of its many clashes against Groudon,
as each sought to gain the power of nature."
383,Groudon,35.00,9500.00,Continent Pokemon,"Through Primal Reversion and with natureâ€™s full power,
it will take back its true form. It can cause magma to
erupt and expand the landmass of the world."
384,Rayquaza,70.00,2065.00,Sky High Pokemon,"It flies forever through the ozone layer, consuming
meteoroids for sustenance. The many meteoroids
in its body provide the energy it needs to Mega Evolve."
385,Jirachi,3.00,11.00,Wish Pokemon,"Jirachi will awaken from its sleep of a thousand years if you
sing to it in a voice of purity. It is said to make true any wish
that people desire."
386,Deoxys,17.00,608.00,DNA Pokemon,"Deoxys emerged from a virus that came from space. It is highly
intelligent and wields psychokinetic powers. This Pokemon
shoots lasers from the crystalline organ on its chest."
387,Turtwig,4.00,102.00,Tiny Leaf Pokemon,"It undertakes photosynthesis with its body, making
oxygen. The leaf on its head wilts if it is thirsty."
388,Grotle,11.00,970.00,Grove Pokemon,"It knows where pure water wells up. It carries fellow
Pokemon there on its back."
389,Torterra,22.00,3100.00,Continent Pokemon,"Small Pokemon occasionally gather on its unmoving
back to begin building their nests."
390,Chimchar,5.00,62.00,Chimp Pokemon,"The gas made in its belly burns from its rear end.
The fire burns weakly when it feels sick."
391,Monferno,9.00,220.00,Playful Pokemon,"It uses ceilings and walls to launch aerial attacks.
Its fiery tail is but one weapon."
392,Infernape,12.00,550.00,Flame Pokemon,"It tosses its enemies around with agility. It uses all
its limbs to fight in its own unique style."
393,Piplup,4.00,52.00,Penguin Pokemon,"Because it is very proud, it hates accepting food
from people. Its thick down guards it from cold."
394,Prinplup,8.00,230.00,Penguin Pokemon,"It lives a solitary life. Its wings deliver wicked blows
that can snap even the thickest of trees."
395,Empoleon,17.00,845.00,Emperor Pokemon,"The three horns that extend from its beak attest to
its power. The leader has the biggest horns."
396,Starly,3.00,20.00,Starling Pokemon,"They flock around mountains and fields, chasing
after bug Pokemon. Their singing is noisy
and annoying."
397,Staravia,6.00,155.00,Starling Pokemon,"It lives in forests and fields. Squabbles over
territory occur when flocks collide."
398,Staraptor,12.00,249.00,Predator Pokemon,"When Staravia evolve into Staraptor, they leave the
flock to live alone. They have sturdy wings."
399,Bidoof,5.00,200.00,Plump Mouse Pokemon,"It constantly gnaws on logs and rocks to whittle
down its front teeth. It nests alongside water."
400,Bibarel,10.00,315.00,Beaver Pokemon,"It makes its nest by damming streams with bark and
mud. It is known as an industrious worker."
401,Kricketot,3.00,22.00,Cricket Pokemon,"When its antennae hit each other, it sounds like the
music of a xylophone."
402,Kricketune,10.00,255.00,Cricket Pokemon,"It signals its emotions with its melodies. Scientists
are studying these melodic patterns."
403,Shinx,5.00,95.00,Flash Pokemon,"All of its fur dazzles if danger is sensed. It flees
while the foe is momentarily blinded."
404,Luxio,9.00,305.00,Spark Pokemon,"Strong electricity courses through the tips of its
sharp claws. A light scratch causes fainting in foes."
405,Luxray,14.00,420.00,Gleam Eyes Pokemon,"Luxrayâ€™s ability to see through objects comes in
handy when itâ€™s scouting for danger."
406,Budew,2.00,12.00,Bud Pokemon,"Over the winter, it closes its bud and endures the
cold. In spring, the bud opens and releases pollen."
407,Roserade,9.00,145.00,Bouquet Pokemon,"With the movements of a dancer, it strikes with
whips that are densely lined with poison thorns."
408,Cranidos,9.00,315.00,Head Butt Pokemon,"In rock layers where Cranidos fossils are found,
the fossilized trunks of trees snapped in two
are also often found."
409,Rampardos,16.00,1025.00,Head Butt Pokemon,"Records exist of a revived fossil that evolved
into Rampardos. It proceeded to escape and
then destroy a skyscraper with a headbutt."
410,Shieldon,5.00,570.00,Shield Pokemon,"This Pokemon lived in primeval jungles. Few
enemies would have been willing to square off
against its heavily armored face, so itâ€™s thought."
411,Bastiodon,13.00,1495.00,Shield Pokemon,"It lived in the same environments as Rampardos.
Their fossils have been found togetherâ€”
seemingly from after theyâ€™d fought to the finish."
412,Burmy,2.00,34.00,Bagworm Pokemon,"If its cloak is broken in battle, it quickly remakes
the cloak with materials nearby."
413,Wormadam,5.00,65.00,Bagworm Pokemon,"When Burmy evolved, its cloak became a part of
this Pokemonâ€™s body. The cloak is never shed."
414,Mothim,9.00,233.00,Moth Pokemon,"It flutters around at night and steals honey from
the Combee hive."
415,Combee,3.00,55.00,Tiny Bee Pokemon,"It collects and delivers honey to its colony.
At night, they cluster to form a beehive and sleep."
416,Vespiquen,12.00,385.00,Beehive Pokemon,"Its abdomen is a honeycomb for grubs. It raises its
grubs on honey collected by Combee."
417,Pachirisu,4.00,39.00,EleSquirrel Pokemon,"A pair may be seen rubbing their cheek pouches
together in an effort to share stored electricity."
418,Buizel,7.00,295.00,Sea Weasel Pokemon,"It inflates the flotation sac around its neck and
pokes its head out of the water to see what is
going on."
419,Floatzel,11.00,335.00,Sea Weasel Pokemon,"Its flotation sac developed as a result of pursuing
aquatic prey. It can double as a rubber raft."
420,Cherubi,4.00,33.00,Cherry Pokemon,"It evolves by sucking the energy out of the small
ball where it had been storing nutrients."
421,Cherrim,5.00,93.00,Blossom Pokemon,"If it senses strong sunlight, it opens its folded
petals to absorb the sunâ€™s rays with its whole body."
422,Shellos,3.00,63.00,Sea Slug Pokemon,"Purple mucus sticks to the hands of anyone
who touches it. Take care, as the substance is
troublesome to wash off. "
423,Gastrodon,9.00,299.00,Sea Slug Pokemon,"Plankton, invisible to the naked eye, is its main
food source. It comes onto the land periodically,
but the reason for this is not known."
424,Ambipom,12.00,203.00,Long Tail Pokemon,"To eat, it deftly shucks nuts with its two tails.
It rarely uses its arms now."
425,Drifloon,4.00,12.00,Balloon Pokemon,"If for some reason its body bursts, its soul spills
out with a screaming sound."
426,Drifblim,12.00,150.00,Blimp Pokemon,"Even while under careful observation, large
flocks of Drifblim flying at dusk will inexplicably
disappear from view."
427,Buneary,4.00,55.00,Rabbit Pokemon,"When it senses danger, it perks up its ears.
On cold nights, it sleeps with its head tucked into
its fur."
428,Lopunny,12.00,333.00,Rabbit Pokemon,"The ears appear to be delicate. If they are touched
roughly, it kicks with its graceful legs."
429,Mismagius,9.00,44.00,Magical Pokemon,"Mismagius have been known to cast spells to
make people fall in love, so some people search
for this Pokemon as if their life depended on it."
430,Honchkrow,9.00,273.00,Big Boss Pokemon,"If its Murkrow cronies fail to catch food for it,
or if it feels they have betrayed it, it will hunt
them down wherever they are and punish them."
431,Glameow,5.00,39.00,Catty Pokemon,"When itâ€™s happy, Glameow demonstrates beautiful
movements of its tail, like a dancing ribbon."
432,Purugly,10.00,438.00,Tiger Cat Pokemon,"To make itself appear intimidatingly beefy, it tightly
cinches its waist with its twin tails."
433,Chingling,2.00,6.00,Bell Pokemon,"There is an orb inside its mouth. When it hops,
the orb bounces all over and makes a
ringing sound."
434,Stunky,4.00,192.00,Skunk Pokemon,"It protects itself by spraying a noxious fluid from its
rear. The stench lingers for 24 hours."
435,Skuntank,10.00,380.00,Skunk Pokemon,"It sprays a stinky fluid from its tail. The fluid smells
worse the longer it is allowed to fester."
436,Bronzor,5.00,605.00,Bronze Pokemon,"Implements shaped like it were discovered in
ancient tombs. It is unknown if they are related."
437,Bronzong,13.00,1870.00,Bronze Bell Pokemon,"Ancient people believed that petitioning Bronzong
for rain was the way to make crops grow."
438,Bonsly,5.00,150.00,Bonsai Pokemon,"From its eyes, it can expel excess moisture from
its body. This liquid is similar in composition to
human sweat."
439,Mime Jr.,6.00,130.00,Mime Pokemon,"It habitually mimics foes. Once mimicked, the foe
cannot take its eyes off this Pokemon."
440,Happiny,6.00,244.00,Playhouse Pokemon,"Itâ€™s too small to lay eggs yet. As a surrogate,
it searches out round white stones."
441,Chatot,5.00,19.00,Music Note Pokemon,"It can learn and speak human words. If they gather,
they all learn the same saying."
442,Spiritomb,10.00,1080.00,Forbidden Pokemon,"It was bound to a fissure in an odd keystone as
punishment for misdeeds 500 years ago."
443,Gible,7.00,205.00,Land Shark Pokemon,"It skulks in caves, and when prey or an enemy
passes by, it leaps out and chomps them. The
force of its attack sometimes chips its teeth."
444,Gabite,14.00,560.00,Cave Pokemon,"Shiny objects are its passion. It can be found in
its cave, scarcely moving, its gaze fixed on the
jewels itâ€™s amassed or Carbink it has caught."
445,Garchomp,19.00,950.00,Mach Pokemon,"The protuberances on its head serve as
sensors. It can even detect distant prey."
446,Munchlax,6.00,1050.00,Big Eater Pokemon,"When it finds something that looks like it might
be edible, it goes right ahead and swallows it
whole. Thatâ€™s why it gets fatter day by day."
447,Riolu,7.00,202.00,Emanation Pokemon,"Itâ€™s tough enough to run right through the night,
and itâ€™s also a hard worker, but itâ€™s still just
a youngster."
448,Lucario,12.00,540.00,Aura Pokemon,"They can detect the species of a living beingâ€”
and its emotionsâ€”from over half a mile away.
They control auras and hunt their prey in packs."
449,Hippopotas,8.00,495.00,Hippo Pokemon,"It enshrouds itself with sand to protect itself from
germs. It does not enjoy getting wet."
450,Hippowdon,20.00,3000.00,Heavyweight Pokemon,"It blasts internally stored sand from ports on its
body to create a towering twister for attack."
451,Skorupi,8.00,120.00,Scorpion Pokemon,"It burrows under the sand to lie in wait for prey.
Its tail claws can inject its prey with a
savage poison."
452,Drapion,13.00,615.00,Ogre Scorpion Pokemon,"It has the power in its clawed arms to make scrap
of a car. The tips of its claws release poison."
453,Croagunk,7.00,230.00,Toxic Mouth Pokemon,"Inflating its poison sacs, it fills the area with an odd
sound and hits flinching opponents with a
poison jab."
454,Toxicroak,13.00,444.00,Toxic Mouth Pokemon,"Its knuckle claws secrete a toxin so vile that even a
scratch could prove fatal."
455,Carnivine,14.00,270.00,Bug Catcher Pokemon,"It binds itself to trees in marshes. It attracts prey
with its sweet-smelling drool and gulps them down."
456,Finneon,4.00,70.00,Wing Fish Pokemon,"Its double tail fins propel its energetic jumps.
When it breaks the surface of the sea, Wingull
swoop down to grab it on the fly."
457,Lumineon,12.00,240.00,Neon Pokemon,"This deep-sea Pokemon lives at the bottom of
the sea. Its fins haul it over the seabed in
search of its favorite foodâ€”Starmie."
458,Mantyke,10.00,650.00,Kite Pokemon,"When it swims close to the surface of the ocean,
people aboard ships are able to observe the pattern
on its back."
459,Snover,10.00,505.00,Frost Tree Pokemon,"In the spring, it grows berries with the texture of
frozen treats around its belly."
460,Abomasnow,22.00,1355.00,Frost Tree Pokemon,"It lives a quiet life on mountains that are perpetually
covered in snow. It hides itself by whipping
up blizzards."
461,Weavile,11.00,340.00,Sharp Claw Pokemon,"They dwell in cold places. This Pokemonâ€™s main
food source in Alola is Vulpix and Sandshrew,
which they carefully divide among their group."
462,Magnezone,12.00,1800.00,Magnet Area Pokemon,"As it zooms through the sky, this Pokemon
seems to be receiving signals of unknown origin,
while transmitting signals of unknown purpose."
463,Lickilicky,17.00,1400.00,Licking Pokemon,"Their saliva contains lots of components that can
dissolve anything. The numbness caused by their
lick does not dissipate."
464,Rhyperior,24.00,2828.00,Drill Pokemon,"It puts rocks in holes in its palms and uses its
muscles to shoot them. Geodude are shot at
rare times."
465,Tangrowth,20.00,1286.00,Vine Pokemon,"Its vines grow so profusely that, in the warm
season, you canâ€™t even see its eyes."
466,Electivire,18.00,1386.00,Thunderbolt Pokemon,"When it gets excited, it thumps its chest. With
every thud, thunder roars and electric sparks
shower all around."
467,Magmortar,16.00,680.00,Blast Pokemon,"From its arm, it launches fireballs hotter than
3,500 degrees Fahrenheit. Its arm starts to
melt when it fires a whole barrage."
468,Togekiss,15.00,380.00,Jubilee Pokemon,"It shares many blessings with people who respect
one anotherâ€™s rights and avoid needless strife."
469,Yanmega,19.00,515.00,Ogre Darner Pokemon,"This six-legged Pokemon is easily capable of
transporting an adult in flight. The wings on its tail
help it stay balanced."
470,Leafeon,10.00,255.00,Verdant Pokemon,"The younger they are, the more they smell like
fresh grass. With age, their fragrance takes on
the odor of fallen leaves."
471,Glaceon,8.00,259.00,Fresh Snow Pokemon,"It freezes its fur into icicles, spiky and sharp,
and tackles its prey."
472,Gliscor,20.00,425.00,Fang Scorpion Pokemon,"Its flight is soundless. It uses its lengthy tail to
carry off its prey... Then its elongated fangs do
the rest."
473,Mamoswine,25.00,2910.00,Twin Tusk Pokemon,"Its impressive tusks are made of ice. The population
thinned when it turned warm after the ice age."
474,Porygon-Z,9.00,340.00,Virtual Pokemon,"Its program was modified to facilitate
extra-dimensional activities, but that led to
noticeably strange behavior."
475,Gallade,16.00,520.00,Blade Pokemon,"A master of courtesy and swordsmanship, it fights
using extending swords on its elbows."
476,Probopass,14.00,3400.00,Compass Pokemon,"The main body controls three mobile units called
Mini-Noses, which it maneuvers to catch prey."
477,Dusknoir,22.00,1066.00,Gripper Pokemon,"The antenna on its head captures radio waves from
the world of spirits that command it to take
people there."
478,Froslass,13.00,266.00,Snow Land Pokemon,"The soul of a woman lost on a snowy mountain
possessed an icicle, becoming this Pokemon.
The food it most relishes is the souls of men."
479,Rotom,3.00,3.00,Plasma Pokemon,"Its body is composed of plasma. It is known to
infiltrate electronic devices and wreak havoc."
480,Uxie,3.00,3.00,Knowledge Pokemon,"It is said that its emergence gave humans the
intelligence to improve their quality of life."
481,Mesprit,3.00,3.00,Emotion Pokemon,"It sleeps at the bottom of a lake. Its spirit is said to
leave its body to fly on the lakeâ€™s surface."
482,Azelf,3.00,3.00,Willpower Pokemon,"It is thought that Uxie, Mesprit, and Azelf all came
from the same egg."
483,Dialga,54.00,6830.00,Temporal Pokemon,"It has the power to control time. It appears in
Sinnoh-region myths as an ancient deity."
484,Palkia,42.00,3360.00,Spatial Pokemon,"It has the ability to distort space. It is described as
a deity in Sinnoh-region mythology."
485,Heatran,17.00,4300.00,Lava Dome Pokemon,"Boiling blood, like magma, circulates through its
body. It makes its dwelling place in volcanic caves."
486,Regigigas,37.00,4200.00,Colossal Pokemon,"There is an enduring legend that states this
Pokemon towed continents with ropes."
487,Giratina,45.00,7500.00,Renegade Pokemon,"It was banished for its violence. It silently gazed
upon the old world from the Distortion World."
488,Cresselia,15.00,856.00,Lunar Pokemon,"Those who sleep holding Cresseliaâ€™s feather are
assured of joyful dreams. It is said to represent
the crescent moon."
489,Phione,4.00,31.00,Sea Drifter Pokemon,"It drifts in warm seas. It always returns to where it
was born, no matter how far it may have drifted."
490,Manaphy,3.00,14.00,Seafaring Pokemon,"It starts its life with a wondrous power that permits
it to bond with any kind of Pokemon."
491,Darkrai,15.00,505.00,Pitch-Black Pokemon,"It can lull people to sleep and make them dream.
It is active during nights of the new moon."
492,Shaymin,2.00,21.00,Gratitude Pokemon,"The blooming of Gracidea flowers confers the
power of flight upon it. Feelings of gratitude are
the message it delivers."
493,Arceus,32.00,3200.00,Alpha Pokemon,"It is told in mythology that this Pokemon was born
before the universe even existed."
494,Victini,4.00,40.00,Victory Pokemon,"When it shares the infinite energy it creates,
that beingâ€™s entire body will be overflowing
with power."
495,Snivy,6.00,81.00,Grass Snake Pokemon,"They photosynthesize by bathing their tails in
sunlight. When they are not feeling well, their
tails droop."
496,Servine,8.00,160.00,Grass Snake Pokemon,"When it gets dirty, its leaves canâ€™t be used in
photosynthesis, so it always keeps itself clean."
497,Serperior,33.00,630.00,Regal Pokemon,"It can stop its opponentsâ€™ movements with just a
glare. It takes in solar energy and boosts
it internally."
498,Tepig,5.00,99.00,Fire Pig Pokemon,"It loves to eat roasted berries, but sometimes it
gets too excited and burns them to a crisp."
499,Pignite,10.00,555.00,Fire Pig Pokemon,"When its internal fire flares up, its movements grow
sharper and faster. When in trouble, it emits smoke."
500,Emboar,16.00,1500.00,Mega Fire Pig Pokemon,"It has mastered fast and powerful fighting moves.
It grows a beard of fire."
501,Oshawott,5.00,59.00,Sea Otter Pokemon,"It fights using the scalchop on its stomach.
In response to an attack, it retaliates immediately
by slashing."
502,Dewott,8.00,245.00,Discipline Pokemon,"As a result of strict training, each Dewott learns
different forms for using the scalchops."
503,Samurott,15.00,946.00,Formidable Pokemon,"One swing of the sword incorporated in its armor
can fell an opponent. A simple glare from one of
them quiets everybody."
504,Patrat,5.00,116.00,Scout Pokemon,"Extremely cautious, one of them will always be on
the lookout, but it wonâ€™t notice a foe coming
from behind."
505,Watchog,11.00,270.00,Lookout Pokemon,"When they see an enemy, their tails stand high,
and they spit the seeds of berries stored in their
cheek pouches."
506,Lillipup,4.00,41.00,Puppy Pokemon,"The long fur surrounding its face functions as
radar, enabling it to probe the condition of its
battle opponents."
507,Herdier,9.00,147.00,Loyal Dog Pokemon,"This Pokemon obeys its masterâ€™s orders
faithfully. However, it refuses to listen to
anything said by a person it doesnâ€™t respect."
508,Stoutland,12.00,610.00,Big-Hearted Pokemon,"With this wise Pokemon, there could be no
concern that it would ever attack people. Some
parents even trust it to babysit."
509,Purrloin,4.00,101.00,Devious Pokemon,"They steal from people for fun, but their victims
canâ€™t help but forgive them. Their deceptively cute
act is perfect."
510,Liepard,11.00,375.00,Cruel Pokemon,"Stealthily, it sneaks up on its target, striking from
behind before its victim has a chance to react."
511,Pansage,6.00,105.00,Grass Monkey Pokemon,"Itâ€™s good at finding berries and gathers them from
all over. Itâ€™s kind enough to share them
with friends."
512,Simisage,11.00,305.00,Thorn Monkey Pokemon,"Ill tempered, it fights by swinging its barbed tail
around wildly. The leaf growing on its head is
very bitter."
513,Pansear,6.00,110.00,High Temp Pokemon,"This Pokemon lives in caves in volcanoes.
The fire within the tuft on its head can reach
600 degrees Fahrenheit."
514,Simisear,10.00,280.00,Ember Pokemon,"When it gets excited, embers rise from its head
and tail and it gets hot. For some reason, it
loves sweets."
515,Panpour,6.00,135.00,Spray Pokemon,"The water stored inside the tuft on its head is full of
nutrients. Plants that receive its water grow large."
516,Simipour,10.00,290.00,Geyser Pokemon,"It prefers places with clean water. When its tuft runs
low, it replenishes it by siphoning up water with
its tail."
517,Munna,6.00,233.00,Dream Eater Pokemon,"It eats the dreams of people and Pokemon. When it
eats a pleasant dream, it expels pink-colored mist."
518,Musharna,11.00,605.00,Drowsing Pokemon,"The dream mist coming from its forehead changes
into many different colors depending on the dream
that was eaten."
519,Pidove,3.00,21.00,Tiny Pigeon Pokemon,"These Pokemon live in cities. They are accustomed
to people. Flocks often gather in parks and plazas."
